
#rate(req/sec)	 mean(sec)	 total_sent	 total_recieved	 get_mean(sec)	                 get_sent	 get_received	 update_mean(sec)	 update_sent	 update_received	                 delete_mean(sec)	 delete_sent	 delete_received	 lost
100	0.0028251234689790072	3003	3003	0.00040919156737162266	1802	1802	0.006471256870335546	324	324	0.006442183975999519	877	877	0
250	0.0032940584176251505	7508	7508	0.00036045222985816173	4558	4558	0.008244674020709705	717	717	0.007692529360943695	2233	2233	0
500	0.004238854101669298	15014	15014	0.0005486249602741943	8958	8958	0.009847650426244386	1549	1549	0.00964578712626449	4507	4507	0
1000	0.0038219357567802707	18820	18820	0.0005171500935567419	11357	11357	0.008858732893541759	1946	1946	0.008848371056597519	5517	5517	0
2000	0.0037346462393899413	19422	19422	0.0005147040907803227	11666	11666	0.008494575980150411	1915	1915	0.008605144382194858	5841	5841	0
3000	0.003338096639114404	22258	22257	0.0004452637094495189	13401	13401	0.0076911819395705456	2189	2189	0.0077235699206114235	6668	6667	1
4000	0.004200916368120884	17435	17435	0.000555285693915828	10413	10413	0.00959115960105138	1717	1717	0.009612208466057847	5305	5305	0
5000	0.004040952393113856	18089	18089	0.0005644816859555874	10812	10812	0.009243797028448885	1832	1832	0.009193567620636618	5445	5445	0
6000	0.0038599211418551835	18542	18541	0.0004925291763444773	11023	11023	0.00882346825679901	1881	1881	0.008788487668840312	5638	5637	1
10000	0.003362291527256918	21585	21585	0.0004579546094366551	13060	13060	0.007878347144758711	2094	2094	0.007789910821874222	6431	6431	0
15000	0.004115703746011978	17655	17655	0.0005543675714643264	10652	10652	0.009621085699319689	1746	1746	0.009503368962067963	5257	5257	0
20000	0.004262139808078205	16967	16967	0.0005205814117157119	10076	10076	0.009776033527835574	1683	1683	0.009719140436226596	5208	5208	0
25000	0.003881102059913427	19008	19007	0.000532562195803302	11410	11410	0.009097986414632301	1879	1879	0.008848628143680436	5719	5718	1
35000	0.003520510845180953	20951	20950	0.0004396277903411423	12548	12547	0.008279431152857508	2054	2054	0.008070373218485121	6349	6349	1
50000	0.0037262612235308963	19834	19834	0.0005100574772343158	11931	11931	0.008417787819614777	1974	1974	0.008636271916125756	5929	5929	0
