
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001134,	   751,	   751,	0.000270,	   454,	   454,	0.002402,	    64,	    64,	0.002469,	   233,	   233,	     0
   100,	0.001200,	  1500,	  1500,	0.000251,	   897,	   897,	0.002740,	   151,	   151,	0.002568,	   452,	   452,	     0
   250,	0.001311,	  3750,	  3750,	0.000238,	  2222,	  2222,	0.003062,	   382,	   382,	0.002809,	  1146,	  1146,	     0
   300,	0.001645,	  4501,	  4483,	0.000327,	  2704,	  2704,	0.003621,	   453,	   450,	0.003630,	  1344,	  1329,	    18
   350,	0.001797,	  5251,	  5227,	0.000488,	  3196,	  3196,	0.003767,	   537,	   531,	0.003856,	  1518,	  1500,	    24
   400,	0.001974,	  6001,	  5976,	0.000645,	  3539,	  3539,	0.003916,	   617,	   611,	0.003873,	  1845,	  1826,	    25
   450,	0.002370,	  6751,	  6726,	0.001234,	  4039,	  4039,	0.004306,	   665,	   657,	0.003983,	  2047,	  2030,	    25
   500,	0.002120,	  7500,	  7475,	0.000728,	  4527,	  4527,	0.004517,	   768,	   760,	0.004144,	  2205,	  2188,	    25
   550,	0.002736,	  8252,	  8227,	0.001602,	  4957,	  4957,	0.004516,	   856,	   848,	0.004417,	  2439,	  2422,	    25
   600,	0.002957,	  9001,	  8972,	0.001741,	  5453,	  5453,	0.005025,	   920,	   910,	0.004756,	  2628,	  2609,	    29
   650,	0.002935,	  9751,	  9725,	0.002033,	  5944,	  5943,	0.004051,	   923,	   918,	0.004438,	  2884,	  2864,	    26
   700,	0.003682,	 10460,	 10435,	0.003113,	  6312,	  6309,	0.004433,	  1058,	  1052,	0.004589,	  3090,	  3074,	    25
   750,	0.004410,	 11252,	 11224,	0.004068,	  6687,	  6687,	0.005015,	  1146,	  1138,	0.004874,	  3419,	  3399,	    28
   800,	0.004997,	 12002,	 11971,	0.004774,	  7116,	  7116,	0.005017,	  1250,	  1245,	0.005427,	  3636,	  3610,	    31
   850,	0.005424,	 12751,	 12719,	0.005293,	  7760,	  7760,	0.005652,	  1293,	  1285,	0.005618,	  3698,	  3674,	    32
   900,	0.005470,	 13501,	 13461,	0.005273,	  8021,	  8021,	0.005333,	  1400,	  1390,	0.005902,	  4080,	  4050,	    40
   950,	0.004570,	 14251,	 14211,	0.003802,	  8553,	  8553,	0.005929,	  1429,	  1419,	0.005655,	  4269,	  4239,	    40
  1000,	0.005605,	 15003,	 14957,	0.004877,	  9022,	  9022,	0.006630,	  1517,	  1507,	0.006728,	  4464,	  4428,	    46
