
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001236,	   751,	   749,	0.000238,	   455,	   455,	0.003388,	    80,	    78,	0.002541,	   216,	   216,	     2
   100,	0.001155,	  1500,	  1500,	0.000234,	   887,	   887,	0.002459,	   154,	   154,	0.002497,	   459,	   459,	     0
   250,	0.001211,	  3752,	  3752,	0.000235,	  2297,	  2297,	0.002822,	   380,	   380,	0.002726,	  1075,	  1075,	     0
   300,	0.001566,	  4501,	  4486,	0.000305,	  2717,	  2716,	0.003309,	   454,	   452,	0.003549,	  1330,	  1318,	    15
   350,	0.001667,	  5251,	  5234,	0.000529,	  3106,	  3106,	0.003521,	   559,	   553,	0.003242,	  1586,	  1575,	    17
   400,	0.001832,	  6001,	  5975,	0.000440,	  3609,	  3607,	0.003985,	   578,	   572,	0.003916,	  1814,	  1796,	    26
   450,	0.002235,	  6751,	  6726,	0.001077,	  4054,	  4054,	0.003870,	   688,	   683,	0.004013,	  2009,	  1989,	    25
   500,	0.002515,	  7501,	  7473,	0.001450,	  4560,	  4560,	0.003875,	   745,	   740,	0.004265,	  2196,	  2173,	    28
   550,	0.002398,	  8252,	  8223,	0.001112,	  4943,	  4942,	0.004411,	   813,	   805,	0.004289,	  2496,	  2476,	    29
   600,	0.002656,	  8953,	  8924,	0.001309,	  5423,	  5423,	0.004453,	   883,	   879,	0.004817,	  2647,	  2622,	    29
   650,	0.002837,	  9753,	  9723,	0.001397,	  5789,	  5788,	0.004958,	  1012,	  1004,	0.004933,	  2952,	  2931,	    30
   700,	0.003683,	 10500,	 10471,	0.002572,	  6259,	  6258,	0.005590,	  1002,	   994,	0.005239,	  3239,	  3219,	    29
   750,	0.003883,	 11253,	 11223,	0.002712,	  6704,	  6704,	0.005495,	  1181,	  1175,	0.005649,	  3368,	  3344,	    30
   800,	0.005506,	 12003,	 11969,	0.005290,	  7135,	  7134,	0.006139,	  1233,	  1223,	0.005715,	  3635,	  3612,	    34
   850,	0.004003,	 12756,	 12719,	0.002634,	  7651,	  7651,	0.006134,	  1264,	  1253,	0.006030,	  3841,	  3815,	    37
   900,	0.004436,	 13504,	 13459,	0.003138,	  8098,	  8098,	0.005931,	  1339,	  1332,	0.006529,	  4067,	  4029,	    45
   950,	0.004762,	 14099,	 14051,	0.003711,	  8490,	  8490,	0.005759,	  1334,	  1326,	0.006540,	  4275,	  4235,	    48
  1000,	0.004498,	 15004,	 14959,	0.003640,	  8995,	  8995,	0.005095,	  1471,	  1465,	0.006007,	  4538,	  4499,	    45
