
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001122,	   750,	   750,	0.000236,	   444,	   444,	0.002394,	    76,	    76,	0.002411,	   230,	   230,	     0
   100,	0.001170,	  1500,	  1500,	0.000231,	   884,	   884,	0.002477,	   179,	   179,	0.002534,	   437,	   437,	     0
   250,	0.001253,	  3751,	  3750,	0.000215,	  2260,	  2259,	0.002916,	   366,	   366,	0.002796,	  1125,	  1125,	     1
   300,	0.001560,	  4501,	  4484,	0.000367,	  2698,	  2698,	0.003115,	   426,	   425,	0.003416,	  1377,	  1361,	    17
   350,	0.001804,	  5251,	  5231,	0.000494,	  3101,	  3101,	0.003741,	   534,	   530,	0.003677,	  1616,	  1600,	    20
   400,	0.002096,	  6001,	  5976,	0.000868,	  3635,	  3635,	0.003934,	   580,	   575,	0.003997,	  1786,	  1766,	    25
   450,	0.002414,	  6739,	  6709,	0.001309,	  4027,	  4022,	0.003842,	   692,	   687,	0.004128,	  2020,	  2000,	    30
   500,  0.001168,   7506,   7505, 0.000181,   4557,   4557, 0.002662,    770,    770, 0.002702,   2179,   2178,      1
   550, 0.002424,   8251,   8224, 0.001134,   4970,   4970, 0.004775,    854,    842, 0.004239,   2427,   2412,     27
   600, 0.002870,   9001,   8971, 0.001693,   5474,   5473, 0.004656,    836,    832, 0.004710,   2691,   2666,     30
   650, 0.002784,   9751,   9712, 0.001225,   5770,   5762, 0.004552,   1052,   1049, 0.005219,   2929,   2901,     39
   700, 0.003708,  10502,  10470, 0.002529,   6325,   6324, 0.005047,   1075,   1070, 0.005645,   3102,   3076,     32
   750, 0.003761,  11122,  11082, 0.002972,   6638,   6624, 0.005356,   1111,   1103, 0.004788,   3373,   3355,     40
   800, 0.005866,  12004,  11970, 0.005702,   7241,   7241, 0.006520,   1245,   1235, 0.005973,   3518,   3494,     34
   850, 0.004589,  12751,  12714, 0.003874,   7618,   7618, 0.006190,   1323,   1310, 0.005464,   3810,   3786,     37
   900, 0.004672,  13503,  13456, 0.003403,   8033,   8032, 0.006917,   1363,   1348, 0.006408,   4107,   4076,     47
   950, 0.006021,  14221,  14178, 0.005685,   8557,   8555, 0.006521,   1405,   1393, 0.006532,   4259,   4230,     43
  1000, 0.005451,  14861,  14799, 0.004712,   8943,   8925, 0.005847,   1546,   1539, 0.006824,   4372,   4335,     62
