
#rate(req/sec)	 mean(sec)	 total_sent	 total_recieved	 get_mean(sec)	                 get_sent	 get_received	 put_mean(sec)	 put_sent	 put_received	                 delete_mean(sec)	 delete_sent	 delete_received	 lost
    50	0.001115	   750	   749	0.000227	   429	   428	0.002339	    78	    78	0.002289	   243	   243	     1
   100	0.001235	  1500	  1500	0.000227	   826	   826	0.002506	   159	   159	0.002459	   515	   515	     0
   250	0.001235	  3751	  3750	0.000224	  2259	  2258	0.002645	   387	   387	0.002808	  1105	  1105	     1
   300	0.001659	  4501	  4487	0.000407	  2683	  2683	0.003526	   451	   446	0.003502	  1367	  1358	    14
   350	0.001825	  5252	  5234	0.000545	  3091	  3091	0.003519	   544	   542	0.003702	  1617	  1601	    18
   400	0.002047	  6001	  5986	0.000852	  3590	  3590	0.003716	   553	   551	0.003858	  1858	  1845	    15
   450	0.001905	  6751	  6736	0.000570	  4035	  4034	0.004047	   695	   690	0.003833	  2021	  2012	    15
   500	0.001737	  7499	  7488	0.000622	  4501	  4501	0.003308	   743	   742	0.003444	  2255	  2245	    11
   550	0.001975	  8252	  8236	0.000486	  4963	  4962	0.004326	   826	   823	0.004188	  2463	  2451	    16
   600	0.002603	  9000	  8985	0.001217	  5363	  5363	0.004948	   892	   888	0.004548	  2745	  2734	    15
   650	0.002998	  9752	  9734	0.001671	  5793	  5792	0.005110	  1022	  1016	0.004880	  2937	  2926	    18
   700	0.003732	 10501	 10484	0.002599	  6295	  6295	0.006032	  1039	  1032	0.005229	  3167	  3157	    17
   750	0.004325	 11254	 11229	0.003272	  6753	  6751	0.005257	  1103	  1099	0.006116	  3398	  3379	    25
   800	0.005679	 12001	 11981	0.005979	  7191	  7191	0.005224	  1220	  1215	0.005233	  3590	  3575	    20
   850	0.005541	 12755	 12724	0.005219	  7575	  7575	0.005408	  1286	  1282	0.006211	  3894	  3867	    31
   900	0.004893	 13503	 13471	0.004497	  8086	  8086	0.006419	  1382	  1369	0.005165	  4035	  4016	    32
   950	0.004834	 14254	 14216	0.003928	  8507	  8506	0.005939	  1439	  1431	0.006254	  4308	  4279	    38
  1000	0.005539	 15005	 14959	0.004971	  8990	  8989	0.005979	  1492	  1484	0.006521	  4523	  4486	    46
