
#rate(req/sec)	 mean(sec)	 total_sent	 total_recieved	 get_mean(sec)	                 get_sent	 get_received	 put_mean(sec)	 put_sent	 put_received	                 delete_mean(sec)	 delete_sent	 delete_received	 lost
    50	0.001067	   749	   749	0.000234	   453	   453	0.002338	    63	    63	0.002344	   233	   233	     0
   100	0.001151	  1501	  1501	0.000230	   900	   900	0.002564	   147	   147	0.002521	   454	   454	     0
   250	0.001281	  3751	  3749	0.000227	  2248	  2247	0.002787	   353	   353	0.002878	  1150	  1149	     2
   300	0.001551	  4500	  4488	0.000280	  2682	  2681	0.003412	   426	   424	0.003431	  1392	  1383	    12
   350	0.001625	  5251	  5229	0.000309	  3117	  3117	0.003728	   523	   516	0.003488	  1611	  1596	    22
   400	0.002086	  6001	  5986	0.000926	  3663	  3663	0.003914	   580	   577	0.003901	  1758	  1746	    15
   450	0.001745	  6752	  6735	0.000379	  4100	  4100	0.003830	   664	   661	0.003868	  1988	  1974	    17
   500	0.001848	  7459	  7446	0.000440	  4455	  4454	0.003733	   769	   767	0.004004	  2235	  2225	    13
   550	0.001901	  8251	  8236	0.000628	  4954	  4953	0.003677	   816	   813	0.003861	  2481	  2470	    15
   600	0.002350	  9000	  8987	0.000932	  5395	  5395	0.004435	   921	   918	0.004485	  2684	  2674	    13
   650	0.002734	  9752	  9734	0.001285	  5821	  5821	0.005204	   981	   976	0.004772	  2950	  2937	    18
   700	0.003352	 10501	 10482	0.002129	  6275	  6275	0.005133	  1053	  1049	0.005178	  3173	  3158	    19
   750	0.003078	 11252	 11234	0.001385	  6674	  6674	0.005526	  1151	  1148	0.005555	  3427	  3412	    18
   800	0.003338	 12002	 11983	0.002172	  7187	  7187	0.005350	  1206	  1199	0.004987	  3609	  3597	    19
   850	0.003770	 12752	 12722	0.002394	  7605	  7604	0.005194	  1293	  1290	0.006007	  3854	  3828	    30
   900	0.003215	 13502	 13472	0.001937	  8068	  8067	0.004915	  1368	  1363	0.005180	  4066	  4042	    30
   950	0.003820	 14252	 14211	0.002736	  8528	  8527	0.005375	  1442	  1434	0.005457	  4282	  4250	    41
  1000	0.003847	 15003	 14966	0.002647	  9091	  9091	0.005397	  1502	  1493	0.005794	  4410	  4382	    37
