
#rate(req/sec)	 mean(sec)	 total_sent	 total_recieved	 get_mean(sec)	                 get_sent	 get_received	 put_mean(sec)	 put_sent	 put_received	                 delete_mean(sec)	 delete_sent	 delete_received	 lost
    50	0.001141	   751	   751	0.000237	   436	   436	0.002390	    77	    77	0.002391	   238	   238	     0
   100	0.001160	  1501	  1501	0.000237	   900	   900	0.002550	   142	   142	0.002539	   459	   459	     0
   250	0.001293	  3750	  3750	0.000214	  2261	  2261	0.002898	   379	   379	0.002942	  1110	  1110	     0
   300	0.001611	  4500	  4490	0.000254	  2718	  2717	0.003587	   435	   433	0.003712	  1347	  1340	    10
   350	0.001756	  5251	  5236	0.000467	  3169	  3169	0.003550	   520	   519	0.003773	  1562	  1548	    15
   400	0.001988	  6002	  5984	0.000683	  3595	  3595	0.003895	   632	   627	0.003951	  1775	  1762	    18
   450	0.001804	  6744	  6727	0.000384	  4092	  4091	0.004327	   646	   640	0.003890	  2006	  1996	    17
   500	0.001810	  7500	  7483	0.000332	  4509	  4508	0.004055	   756	   752	0.004031	  2235	  2223	    17
   550	0.002081	  8249	  8235	0.001052	  4936	  4936	0.003337	   842	   842	0.003708	  2471	  2457	    14
   600	0.002590	  9001	  8985	0.001278	  5444	  5444	0.004553	   893	   888	0.004614	  2664	  2653	    16
   650	0.002592	  9749	  9739	0.001606	  5826	  5826	0.003878	   969	   968	0.004115	  2954	  2945	    10
   700	0.003158	 10498	 10482	0.001950	  6317	  6317	0.005569	  1083	  1078	0.004777	  3098	  3087	    16
   750	0.003253	 11252	 11223	0.001914	  6746	  6746	0.005442	  1117	  1109	0.005198	  3389	  3368	    29
   800	0.002942	 11865	 11839	0.001421	  7132	  7127	0.004764	  1149	  1148	0.005385	  3584	  3564	    26
   850	0.003184	 12750	 12724	0.002027	  7696	  7696	0.004988	  1311	  1303	0.004929	  3743	  3725	    26
   900	0.003713	 13501	 13462	0.002400	  8059	  8059	0.005677	  1402	  1391	0.005652	  4040	  4012	    39
   950	0.003113	 14041	 14008	0.002264	  8330	  8328	0.004259	  1451	  1444	0.004382	  4260	  4236	    33
  1000	0.005347	 15005	 14963	0.004796	  9014	  9013	0.006168	  1541	  1532	0.006179	  4450	  4418	    42
