
#rate(req/sec)	 mean(sec)	 total_sent	 total_recieved	 get_mean(sec)	                 get_sent	 get_received	 put_mean(sec)	 put_sent	 put_received	                 delete_mean(sec)	 delete_sent	 delete_received	 lost
    50	0.001086	   750	   750	0.000235	   444	   444	0.002306	    69	    69	0.002326	   237	   237	     0
   100	0.001114	  1501	  1501	0.000235	   915	   915	0.002490	   173	   173	0.002487	   413	   413	     0
   250	0.001238	  3751	  3749	0.000217	  2286	  2285	0.002674	   357	   357	0.002884	  1108	  1107	     2
   300	0.001547	  4501	  4488	0.000257	  2702	  2702	0.003283	   476	   474	0.003557	  1323	  1312	    13
   350	0.001725	  5251	  5236	0.000459	  3197	  3197	0.003777	   482	   478	0.003672	  1572	  1561	    15
   400	0.001766	  6001	  5984	0.000409	  3666	  3666	0.003742	   616	   613	0.003952	  1719	  1705	    17
   450	0.001845	  6750	  6733	0.000478	  4060	  4060	0.004149	   649	   643	0.003832	  2041	  2030	    17
   500	0.001960	  7501	  7481	0.000509	  4492	  4491	0.004155	   778	   774	0.004118	  2231	  2216	    20
   550	0.002286	  8252	  8240	0.000987	  4887	  4887	0.004010	   859	   857	0.004229	  2506	  2496	    12
   600	0.002217	  9001	  8987	0.000659	  5439	  5439	0.004961	   899	   895	0.004475	  2663	  2653	    14
   650	0.002645	  9752	  9732	0.001133	  5766	  5766	0.004685	  1015	  1010	0.004883	  2971	  2956	    20
   700	0.002874	 10503	 10488	0.001294	  6272	  6272	0.005993	  1006	   999	0.004974	  3225	  3217	    15
   750	0.003813	 11252	 11232	0.002653	  6725	  6725	0.006029	  1136	  1128	0.005371	  3391	  3379	    20
   800	0.003399	 12000	 11977	0.002239	  7143	  7141	0.005202	  1236	  1232	0.005074	  3621	  3604	    23
   850	0.004012	 12755	 12725	0.002831	  7654	  7654	0.006068	  1248	  1242	0.005691	  3853	  3829	    30
   900	0.003593	 13502	 13475	0.002441	  8139	  8139	0.005239	  1357	  1351	0.005377	  4006	  3985	    27
   950	0.004270	 14253	 14213	0.003113	  8543	  8543	0.006248	  1416	  1404	0.005919	  4294	  4266	    40
  1000	0.003648	 15002	 14960	0.002400	  9086	  9085	0.006552	  1528	  1511	0.005222	  4388	  4364	    42
