
#rate(req/sec)	 mean(sec)	 total_sent	 total_recieved	 get_mean(sec)	                 get_sent	 get_received	 update_mean(sec)	 update_sent	 update_received	                 delete_mean(sec)	 delete_sent	 delete_received	 lost
100	0.00023010307151382937	3001	3001	0.00023010307151382937	3001	3001	0.0	0	0	0.0	0	0	0
250	0.00022044434815130204	7501	7501	0.00022044434815130204	7501	7501	0.0	0	0	0.0	0	0	0
500	0.000192008734785486	15001	15000	0.000192008734785486	15001	15000	0.0	0	0	0.0	0	0	1
1000	0.00015915787587485587	30001	30000	0.00015915787587485587	30001	30000	0.0	0	0	0.0	0	0	1
2000	0.00014228203081415622	60007	60007	0.00014228203081415622	60007	60007	0.0	0	0	0.0	0	0	0
3000	0.00015749865211145457	90005	90005	0.00015749865211145457	90005	90005	0.0	0	0	0.0	0	0	0
3250	0.0013528478621446143	97504	97503	0.0013528478621446143	97504	97503	0.0	0	0	0.0	0	0	1
3500	0.0030967529195175124	105018	104819	0.0030967529195175124	105018	104819	0.0	0	0	0.0	0	0	199
3750	0.004345846403722108	112510	112433	0.004345846403722108	112510	112433	0.0	0	0	0.0	0	0	77
4000	0.0629244568438125	120006	116717	0.0629244568438125	120006	116717	0.0	0	0	0.0	0	0	3289
5000	0.4891405712961178	150004	132010	0.4891405712961178	150004	132010	0.0	0	0	0.0	0	0	17994
10000	3.7749254919779958	299320	145903	3.7749254919779958	299320	145903	0.0	0	0	0.0	0	0	153417
